musica|artista|compositor|letra
Não Quero Saber Mais Dela, Que Mulher, Mulher Ingrata|Bom Gosto| Grupo Bom Gosto| Não  Quero  Saber  Mais  Dela/ Que  Mulher/.... Bom  Gosto Eu, não quero saber mais dela Foi embora da  Portela Dizendo que o samba Lá em  Mangueira é que é bom Ah! meu  Deus do céu Minha doce companheira(se mandou de  Madureira) Se mandou de madureira Seja o que  Deus quiser Foi morar no chalé Ah! meu  Deus do céu Minha doce companheira(se mandou de  Madureira) Se mandou de  Madureira Seja o que  Deus quiser Todo lugar que ela mora Mandam ela embora Com  Razão Todo lugar que ela chega A danada da nega Arranja confusão Que  Mulher, ô que mulher Só me traz preocupação Que  Mulher, ô que mulher Só me traz preocupação Mulher ingrata Mulher fingida Assim não posso ter sossego em minha vida Mas com a outra eu não parava um instante Vivia como um judeu errante De bom tinha uma coisa A nega não bebia Mas você se embriaga todo dia De bom tinha uma coisa A nega não bebia Mas você se embriaga todo dia
Aguanta Corazón|Alexandre Pires|no compositor found| Corazon cuentame Como es que siempre estoy de esta manera Corazon dime porque Te apasionas y me dejas esta pena Porque siempre te tienes que entregar? Si solamente yo queria una aventura Porque no paras nunca de soñar Por un momento nada mas Dime ahora como hago Para olvidar tanta dulzura Ya no puede ser esta locura Y no es justo entrar asi en mi vida No esta bien, no dejarme salida, no y no Ahora aguanta corazon Ya que inventaste esta pasion Te dije que tenia miedo Amar no es tan solo un juego Ahora aguanta corazon Porque no tienes salvacion Despiertas y te olvidas Que tu eres yo. Corazon cuentame Como es que siempre estoy de esta manera .. T E  A M O  M A J U... V I L I O
Besar Esa Boca|Alexandre Pires|no compositor found| Besar esa boca es toda una aventura Donde hago piruetas y empiezo a caer Besar esa boca no tiene clemencia Besar esa boca es jugar y perder Por eso comprendes que te necesito Por eso besarte es morir y volver Caer derrotado en tu boca me gusta Quedarme vencido y dormido en tu piel Besar esa boca se ha vuelto locura Por eso mi amor no te quiero perder Maldito el tiempo que se acaba Cuando estoy contigo, maldito Maldito el tiempo que tu no estas Maldito el tiempo que se esfuma Cuando te preciso oh oh ... Y bendita que seas mi necesidad Y bendita que seas mi necesidad Besarte mi vida es andar por los cielos Es no hacer preguntas ni saber porque Besarte esa boca es dolor y remedio Besar esa boca es ahora y después Por eso eres tu donde me desahogo Por eso besarte es morir y volver Maldito el tiempo que se acaba Cuando estoy contigo, maldito Maldito el tiempo que tu no estas Maldito el tiempo que se esfuma Cuando te preciso Y bendita que seas mi necesidad Y bendita que seas mi necesidad Por eso besarte simplemente todo Es mas allá que el bien Por eso besarte es morir y volver Maldito el tiempo que se acaba Cuando estoy contigo, maldito Maldito el tiempo que tu no estas Maldito el tiempo que se esfuma Cuando te preciso Y bendita que seas mi necesidad Y bendita que seas mi necesidad Maldito el tiempo que se acaba Cuando estoy contigo, maldito Maldito el tiempo que tu no estas Maldito el tiempo que se esfuma Cuando te preciso Y bendita que seas mi necesidad
Batuques do Meu Lugar|Arlindo Cruz|no compositor found| Zabumba e sanfona Toquei lá no  Ceará Congo e catira Dancei lá em  Mossoró Fandangos, caboclinhos No  Pará, o carimbó Bata no baticum, Deu umbigada e o boi bumbá A benção na  Bahia Com o axé do afoxé Hoje o maculelê Samba de roda e candomblé Me embalei no xote E xaxado no sertão No reagge sanfonado Que vem lá do  Maranhão Seresta em  B Hquilombo e siriri Chamamé é catupécacuriá é cacumbi Mil coisas eu vivi Igual ao samba eu nunca visurdo e pandeirocom ganzá e tamborim A força do batuquedesse som tocou em mim A grande apoteose Do terreiro me encantou Herança de família Vem do avô, do meu avô Bate forte pra exaltar Seu  Zé e iyawo A paz de  Òbátálá Tambores de xangô Os bambas do lugar Se curvam para o rei sambarsurdo e pandeiro Com ganzá e tamborim A força do batuquedesse som tocou em mim A grande apoteose Do terreiro me encantou Herança de família Vem do avô, do meu avô Bate forte pra exaltar Seu  Zé e iyawo A paz de  Òbátálá Tambores de xangô Os bambas do lugar Se curvam para o rei sambar Os bambas do lugar Se curvam para o rei sambar Os bambas do lugar Se curvam para o rei sambar O rei sambar O rei sambar O rei sambar
O Samba Vai Balançar|Alcione| Sérgio Santos - Paulo César Pinheiro| Alcione -  O  Samba  Vai  Balançar Balança as cadeiras da nega, do repique, do tan-tan Balança a menina faceira da  Mangueira do  Amanhã Balança o samba, que o samba vai balançar Balança a galera com um gol de placa no  Maracanã Balança a roseira que a seleção é pentacampeã Ao som do samba, que o samba vai balançar Balança que o samba é uma herança que daqui não sai Antes do  Chalaça ele vinha já de avô pra pai Num cai não cai, o samba vai balançar Balnça no chão do terreiro as contas do balangandã Balança  Xangô,  Yemanjá,  Oxum- Maré,  Ogum,  Iansã Num afro-samba, que o samba vai balançar Balança que o samba onde passa pelo mundo deixa um fã Balança  Paris,  Tóquio,  Havana,  Londres,  Roma,  Amsterdã Espalha o samba, que o samba vai balançar Balança que o samba é uma herança que daqui não sai Antes do  Chalaça ele vinha já de avô pra pai Num cai não cai, o samba vai balançar Balança a viola e o gogó quem for cantar pro  Tio  Sam Balança  Bituca,  Ivan  Lins,  João  Gilberto,  Djavan Canta mais samba, que o samba vai balançar Balança que o samba é uma herança que daqui não sai Antes do  Chalaça ele vinha já de avô pra pai Num cai não cai, o samba vai balançar
Camisa Listrada|Assis Valente|no compositor found| Vestiu uma camisa listrada e saiu por aí Em vez de tomar chá com torrada ele bebeu parati Levava um canivete no cinto e um pandeiro na mão E sorria quando o povo dizia: sossega leão, sossega leão Tirou o anel de doutor para não dar o que falar E saiu dizendo eu quero mamar Mamãe eu quero mamar, mamãe eu quero mamar Levava um canivete no cinto e um pandeiro na mão E sorria quando o povo dizia: sossega leão, sossega leão Levou meu saco de água quente pra fazer chupeta Rompeu minha cortina de veludo pra fazer uma saia Abriu o guarda-roupa e arrancou minha combinação E até do cabo de vassoura ele fez um estandarte Para seu cordão Agora a batucada já vai começando não deixo e não consinto O meu querido debochar de mim Porque ele pega as minhas coisas vai dar o que falar Se fantasia de  Antonieta e vai dançar no  Bola  Preta Até o sol raiar
Do Jeito Que Tocar, Eu Danço|Alcione| Guilherme Nascimento E Roberto Serrão| D O  J E I T O  Q U E  T O C A R,  E U  D A N Ç O... Toque a polca outra vez, Por favor, violeiro Eu vou partir Mas não quero levar No peito a tristeza a me acompanhar Só a certeza que vou voltar E cair no forró, Calanguear, Se maxixe tocar, Vou maxixar Amor, Quando eu regressar Quero um xote gostoso dançar Com você E depois Recordar Os baiões e chorinhos que falam de amor Deixa eu ir Minha  Flor, Pois o barco que vai me levar... Apitou
Eva Meu Amor|Alexandre Pires|no compositor found| Hey As luzes ja se apagam A cidade cala e vai dormir Os sonhos não se acabam Amanhã eu tenho que partir Mas não sei mentir Deixo aqui pedaço de mim Meu pecado é seu amor Refrão Ela é meu amor Só sei Meu paraiso é aqui Eva meu amor, meu bem Meu paraiso é aqui Hey Eu vou fazer as malas Meia luz não quero te acordar Olho pro seu corpo quase nú Em silêncio eu fico a te adorar Eu preciso ir Vou partir,  Mas não é o fim Meu pecado é seu amor Refrão Ela é meu amor Só sei Meu paraíso é aqui Eva meu amor, meu bem Meu paraiso é aqui
Eu Não Sabia|Ataulfo Alves| Ataulfo Alves - Jorge De Castro| Eu não sabia Juro que estou inocente Eu não sabia Que essa mulher lhe pertencia Além de tudo Foi um simples cumprimento Não há razão Prá tanto aborrecimento Escute aqui Ouça bem meu camarada Mulher séria não enxerga Não fala nem ouve nada Dessa maneira Você vai fazer asneira Pela sua companheira Que afinal Não é tão boa assim Meu grande amigo Tenha mais calma E vai por mim.
Vou Deixar Pra Amanhã|Beth Carvalho| João Nogueira - Maurício Tapajós - Aldir Blanc| Eu vou deixar pra amanhã O que posso fazer hoje E vou deixar pra mais tarde A importante decisão De mudar a minha vida De criar juízo e mais vergonha E de parar de beber De nunca mais ir tão fundo Vou deixar de ser, eu vou deixar de ser A palmatória do mundo Eu vou deixar pra amanhã, de manhã E amanhã de manhã eu resolvo Deixar pra depois de amanhã Pago com a multa maldita A minha conta vencida E vou na madruga Empurrando com a barriga Meu destino bagunceiro Há quem fale quanto a esse detalhe Ele parece que tem vocação pra padeiro
A Bandeira de Vilma|Agepê| Bira / Catoni| Nazareno carregou Sua cruz até o fim, até o fim Arrasta sua bandeira, bandeira ( Bis) Que eu levo o meu tamborim Depois que você deixou seu posto Uma alegria no rosto Em muita gente fico Disseram que seu estandarte eras pesado E o seu cabelo prateado o sereno clareou Mas hoje você faz o seu regresso Pra mostrar que seu sossego Ainda não envelheceu Quero ver você dançar E cantar de ficar rouca Que é pra calar a boca ( Bis) De quem falou sem pensar Nazareno carregou Sua cruz até o fim, até o fim Arrasta sua bandeira, bandeira Que eu levo o meu tamborim
Malandragem Maloca O Flagrante|Bezerra da Silva| Bezerra Da Silva| Pintou sujeira alô malandragem maloca o flagrante Pintou sujeira alô malandragem maloca o flagrante A canadura chegou com sargento, tenente e seu comandante A canadura chegou com sargento, tenente e seu comandante Caguetaram que tinham malandro aqui de montão Os tiras vieram munidos De matraca, escopeta e pastor alemão Quem marcar bobeira vai ser grampeado E depois terá que explicar tudo certo ao doutor delegado Não vai dar pra dividida Esconde a muamba e sai batido Quando o malandro é de verdade Na briga não gosta de sair ferido Não vai dar pra dividida Esconde a muamba e sai batido Quando o malandro é de verdade Na briga não gosta de sair ferido Pintou sujeira alô malandragem maloca o flagrante... Quem caguetou foi a fim de entregar toda a rapaziada Eles não sabiam que ali tem malandro da barra pesada Não havendo flagrante Os homens vão ver que está tudo correto Eles pedem desculpa à moçada Não prendem ninguém e está tudo certo Não havendo flagrante Os homens vão ver que está tudo correto Eles pedem desculpa à moçada Não prendem ninguém e está tudo certo Pintou sujeira alô malandragem maloca o flagrante... Pintou sujeira alô malandragem maloca o flagrante...
Simples Margarida (samba do Metrô)|Adoniran Barbosa|no compositor found| Você tá vendo aquela mulher que vai indo alí Ela não quer saber de mim Sabe por que? Eu menti pra conquistar seu bem querer ...bis Eu disse a ela que trabalhava de engenheiro Que o metrô de são paulo estava em minhas mãos E se desse tudo certo Era a primeira passageira Na inauguração Tudo ía indo muito bem Até que um dia Até que um dia Ela passou de ônibus pela rua 23 de maio E da janela do coletivo me viu Plantando grama nos jardins do barracão Hoje fiquei sabendo que ela é: Orgulhosa, fingida Não passa de uma triste margarida Orgulhosa, fingida Não passa de uma triste margarida
Aliança Das Marés|Biro do Cavaco| Mario Sergio/Luisinho/Paquera| Vale mais que a luz do sol...vale mais que o céu azul Mais que um veleiro no mar... indo pelo vento sul Vale mais do que o luar... numa noite de verão Vale o pranto a enxugar... espantando a solidão E somente sonhar... bom ar espalhando desejos Só me vale expressar... um mero sorriso aceso... Vale mais que a imensidão... vale mais que o mundo aos pés Vale mais que o próprio ser... na aliança das marés Vale mais que festejar... as vitórias as razões Vale mais que fascinar... pelo canto as multidões Vale todo o prazer... sentir num abraço um lampejo Vale estar com você... me ver encoberto por beijos Por mais que tempo vá, a solidão não vai Pensar em nos render, obras do rei prazer Se a luz não está acesa, os corpos ganham luz Quem já nos viu, já percebeu, E entendeu porque ela !
Antes Só do Que Mal Acompanhado|Ataulfo Alves| Ataulfo Alves E Benedito Lacerda| Lá vem ela pedindo perdão do que fiz Mas não posso lhe perdoar outra vez Ela foi para mim Tudo quanto sonhei Mas foi também Um golpe errado que eu dei[lá vem mulher] Vou descansar um pouco Trabalhei como um louco Sem nenhuma compensaçao O meu lar esta vazio Mas eu lanço um desafio A quem mudar minha opiniao Diz um velho ditado Antes so do que mal acompanhado
Imaginação|Candeia|no compositor found| Numa pausa pra meditação Elevei meu pensamento a  Deus E pedi em forma de oração Pra afastar os sofrimentos meus Foi,  Olhando o céu Que senti a presença de  Deus Foi,  Olhando o mar Compreendi a existência de  Deus Foi, ouvindo as aves Ao despertar numa manha de sol de verão A cantar Senti que a minha solidão Era só imaginação
Forasteiro|Ary Barroso| Ary Barroso - 1950| Amigo, olha esta terra, E me diga se existe outra igual Amigo, olha este mar, Este céu de matiz sensacional A terra tem a forma De um imenso coração Aberto aos forasteiros Para o mundo inteiro Amigo, olha estes rios, Que fervem na espuma das cascatas Trazendo no ronco das águas, A voz das matas Este é o  Brasil das  Missões Dos santos, das procissões Vem saber, oh, forasteiro O que é ser brasileiro Olha a mulata passando, Arrastando a sandália de prata Olha só a cadência que ela tem, ô, ô, ô Ouve o samba rasgado Ribombo do morro, da batucada Que só termina ao romper da madrugada Vem, forasteiro Vem ver o meu  País Sambar,  Sambar Sambar de noite e de dia Com alma e alegria8609 Ficha técnica da faixa Voz:  Francisco  Alves Orquestra[  Samba -  Odeon 13.001 A - intérprete  Francisco  Alves com  Orquestra ]
Coisas da Vida|Belo|no compositor found| Coisas da vida Perder o jogo quando a gente precisa ganhar Coisas da vida Depois da queda todo machucado ter que levantar Coisas da vida Amar outra pessoa e ela não corresponder Coisas da vida A vida separou eu e você Construímos um castelo Um sol lindo e amarelo iluminando o nosso quintal Mas veio um vento forte E transformou nossa paixão em temporal Levou tudo que eu tinha A mulher que era minha e eu pensei que o tempo me curou Mas não tô aguentando Coração tá me cobrando Me culpando pelo fim do nosso amor Eu não vou me acovardar preciso te dizer Que ainda te amo meu coração é o teu lugar Mesmo depois de todos esses anos Tô torcendo por você mesmo sabendo que tem Outro alguém espero que ele te faça feliz como eu não fiz Eu não vou me acovardar preciso te dizer Que ainda te amo meu coração é o teu lugar Mesmo depois de todos esses anos Tô torcendo por você mesmo sabendo que tem Outro alguém espero que ele te faça feliz como eu não fiz
